region,year_gdp,log_gdp
BG33,2018,8.754714485836395
BG33,2019,8.730819598038604
BG34,1999,7.694643226644116
BG34,2000,7.701616195622926
BG34,2001,7.741950531020261
BG34,2002,7.842074516308971
BG34,2003,7.953585446211275
BG34,2004,8.100240351259089
BG34,2005,8.167936379262272
BG34,2006,8.266295533417388
BG34,2007,8.416705230006373
BG34,2008,8.433128740698143
BG34,2009,8.445924875926181
BG34,2010,8.505244084340097
BG34,2011,8.5550976540764
BG34,2012,8.559447759313073
BG34,2013,8.60406422522489
BG34,2014,8.630266486971196
BG34,2015,8.755174910602136
BG34,2016,8.819113911485774
BG34,2017,8.823793676832487
BG34,2018,8.83315655140591
BG34,2019,8.758412389457677
BG4,1999,8.898115575700148
BG4,2000,9.030918207877999
BG4,2001,9.147755141922895
BG4,2002,9.239734112052028
BG4,2003,9.373154557881495
BG4,2004,9.510162702372114
BG4,2005,9.678737711829584
BG4,2006,9.876874547171358
BG4,2007,10.018813349430415
BG4,2008,10.038586465957742
BG4,2009,10.076600170244772
BG4,2010,10.15893177479999
BG4,2011,10.168080869281194
BG4,2012,10.161212224566665
BG4,2013,10.17263376749995
BG4,2014,10.257883551651634
BG4,2015,10.316603981160284
BG4,2016,10.393139998230154
BG4,2017,10.469018667518998
BG4,2018,10.59200804646908
BG4,2019,10.596481221313743
BG41,1999,8.535207946911884
BG41,2000,8.681226873097444
BG41,2001,8.819485019750887
BG41,2002,8.907769340363924
BG41,2003,9.043962240623275
BG41,2004,9.186720608677145
BG41,2005,9.377747932620892
BG41,2006,9.599549396361192
BG41,2007,9.752761169772503
BG41,2008,9.775123358346628
BG41,2009,9.818558007030767
BG41,2010,9.903620043758778
BG41,2011,9.904583951271313
BG41,2012,9.899555331478522
BG41,2013,9.919221128145024
BG41,2014,9.999647825454346
BG41,2015,10.060524634123583
BG41,2016,10.13804966325895
BG41,2017,10.212450937901217
BG41,2018,10.344935766604111
BG41,2019,10.34201663943149
BG42,1999,7.708536389035239
BG42,2000,7.810462166781896
BG42,2001,7.874187642334622
BG42,2002,7.975612783841112
BG42,2003,8.10195649647924
BG42,2004,8.224064312007185
BG42,2005,8.33133579088795
BG42,2006,8.458849840521466
BG42,2007,8.56467201997035
BG42,2008,8.575903511537565
BG42,2009,8.595719673277072
BG42,2010,8.668720433036782
BG42,2011,8.705508416904655
BG42,2012,8.692515309189947
BG42,2013,8.675865632654032
BG42,2014,8.777661814135845
BG42,2015,8.829027242537327
BG42,2016,8.90216711522725
BG42,2017,8.983113495224337
BG42,2018,9.07293978939519
BG42,2019,9.103351865192971
CH,2010,13.161971400158947
CH,2011,13.196429454394746
CH,2012,13.193069582962515
CH,2013,13.224815628156481
CH,2014,13.357863044537078
CH,2015,13.351456538636604
CH,2016,13.343895983843336
CH,2017,13.34189396180682
CH0,2010,13.161971400158947
CH0,2011,13.196429454394746
CH0,2012,13.193069582962515
CH0,2013,13.224815628156481
CH0,2014,13.357863044537078
CH0,2015,13.351456538636604
CH0,2016,13.343895983843336
CH0,2017,13.34189396180682
CH01,2010,11.472250959572918
CH01,2011,11.506740980408575
CH01,2012,11.495517827395194
CH01,2013,11.526643737711087
CH01,2014,11.65466701185218
CH01,2015,11.665745602876182
CH01,2016,11.646069470069891
CH01,2017,11.656084326927807
CH02,2010,11.561428540314559
CH02,2011,11.590498355925112
CH02,2012,11.59174755106518
CH02,2013,11.626408156274842
CH02,2014,11.762790243015784
CH02,2015,11.74000772936021
CH02,2016,11.727827548492726
CH02,2017,11.717095349305694
CH03,2010,11.20838461185064
CH03,2011,11.235782460922737
CH03,2012,11.228175888545874
CH03,2013,11.261541762861375
CH03,2014,11.403337135801614
CH03,2015,11.409800005268494
CH03,2016,11.423934129155136
CH03,2017,11.411761464943787
CH04,2010,11.630080036517741
CH04,2011,11.675669204196403
CH04,2012,11.659805491826981
CH04,2013,11.694698538041148
CH04,2014,11.824946843704618
CH04,2015,11.810849682129016
CH04,2016,11.814209361767759
CH04,2017,11.82621234359338
CH05,2010,11.058522076724003
CH05,2011,11.087351879798613
CH05,2012,11.090663984250659
CH05,2013,11.118883118008986
CH05,2014,11.243663103241833
CH05,2015,11.238797124307473
CH05,2016,11.222705508145868
CH05,2017,11.207822119546003
CH06,2010,10.767876173152398
CH06,2011,10.80259163645452
CH06,2012,10.822096595050315
CH06,2013,10.841582632416312
CH06,2014,10.972058931100705
CH06,2015,10.967251462118575
CH06,2016,10.962528800026593
CH06,2017,10.95144879667044
CH07,2010,10.002796997336018
CH07,2011,10.044717547229752
CH07,2012,10.062343431247642
CH07,2013,10.09832833247167
CH07,2014,10.25062061719399
CH07,2015,10.234546592782408
CH07,2016,10.190613470362592
CH07,2017,10.19588847368785
CY,1999,9.28772539729239
CY,2000,9.359012931406827
CY,2001,9.399550646973559
CY,2002,9.462757636354189
CY,2003,9.542372767071333
CY,2004,9.618420724017488
CY,2005,9.696699517581484
CY,2006,9.775145528957438
CY,2007,9.852698341603478
CY,2008,9.834967247943279
CY,2009,9.873542130566808
CY,2010,9.893590235277715
CY,2011,9.875128200666296
CY,2012,9.797847553381983
CY,2013,9.765957318047379
CY,2014,9.791659500715271
CY,2015,9.848468378302375
CY,2016,9.915675971060999
CY,2017,9.981031756932836
CY,2018,10.043681575464083
CY,2019,9.978055454620147
CY0,1999,9.28772539729239
CY0,2000,9.359012931406827
CY0,2001,9.399550646973559
CY0,2002,9.462757636354189
CY0,2003,9.542372767071333
CY0,2004,9.618420724017488
CY0,2005,9.696699517581484
CY0,2006,9.775145528957438
CY0,2007,9.852698341603478
CY0,2008,9.834967247943279
