NUTS3,UKH17,Breckland and South Norfolk,"2,753","2,897","3,161","3,409","4,319","4,054","3,777","3,923","4,223","4,312","4,412","4,360","4,492","4,684","4,841","4,911","5,279","5,443","5,505","5,767","5,714"
NUTS2,UKH2,Bedfordshire and Hertfordshire,"28,701","30,366","31,972","33,338","34,938","37,065","38,687","40,838","42,278","44,521","46,458","44,631","44,734","45,120","46,634","50,230","54,063","56,050","59,214","62,222","65,065"
NUTS3,UKH21,Luton,"3,398","3,525","3,712","3,842","4,024","4,250","4,303","4,536","4,883","5,094","5,341","5,089","5,241","5,263","5,105","5,672","6,369","6,695","7,090","7,104","7,524"
NUTS3,UKH23,Hertfordshire,"19,745","20,981","22,080","23,075","24,159","25,720","27,066","28,587","29,304","31,101","32,472","31,234","31,007","31,131","32,483","35,249","37,600","39,120","39,758","42,823","44,412"
NUTS3,UKH24,Bedford,"2,303","2,440","2,536","2,648","2,792","2,955","3,062","3,279","3,459","3,563","3,729","3,605","3,655","3,681","3,779","3,893","4,197","4,310","6,015","5,326","5,811"
NUTS3,UKH25,Central Bedfordshire,"3,255","3,420","3,644","3,772","3,963","4,139","4,256","4,436","4,632","4,764","4,916","4,703","4,831","5,045","5,267","5,416","5,895","5,925","6,350","6,969","7,319"
NUTS2,UKH3,Essex,"24,929","25,581","26,695","27,968","28,157","31,060","31,891","33,302","35,150","36,240","36,626","35,356","37,157","37,934","38,253","38,739","40,922","42,676","44,942","48,502","49,482"
NUTS3,UKH31,Southend-on-Sea,"1,681","1,737","1,827","1,936","2,039","2,219","2,338","2,414","2,575","2,699","2,744","2,717","2,797","2,884","2,908","2,959","3,102","3,198","3,182","3,362","3,449"
NUTS3,UKH32,Thurrock,"4,374","4,558","4,484","4,348","3,599","4,253","4,415","4,858","5,214","4,967","5,011","4,941","5,262","5,384","4,440","3,375","3,645","3,950","4,394","4,975","4,749"
NUTS3,UKH34,Essex Haven Gateway,"5,057","5,190","5,500","5,844","5,985","6,619","6,775","7,040","7,389","7,695","7,781","7,529","7,915","8,182","8,664","9,307","9,682","10,304","11,260","12,675","12,632"
NUTS3,UKH35,West Essex,"4,378","4,595","4,776","5,071","5,386","5,840","6,045","6,259","6,669","6,931","6,944","6,669","6,979","6,978","7,150","7,352","7,484","8,019","8,664","9,189","9,462"
NUTS3,UKH36,Heart of Essex,"4,924","4,988","5,289","5,679","5,876","6,382","6,518","6,750","7,014","7,409","7,380","7,204","7,452","7,587","7,920","8,046","8,772","9,025","9,003","9,498","10,106"
NUTS3,UKH37,Essex Thames Gateway,"4,516","4,513","4,820","5,090","5,271","5,747","5,801","5,980","6,289","6,540","6,767","6,296","6,752","6,919","7,170","7,701","8,236","8,179","8,438","8,803","9,084"
NUTS1,UKI,London,"190,335","200,479","216,338","223,117","232,219","245,848","259,579","280,562","298,853","326,812","332,447","325,498","336,925","352,678","368,618","388,185","414,649","429,923","455,592","471,147","487,145"
